DK1;DK2;EE;FI;LT;LV;NO;SE
1995;1377;956;11890;920;776;17413;18253
2078;1384;990;12311;988;818;17616;18376
2218;1489;1115;13252;1204;941;18306;19188
2683;1760;1272;13641;1403;1116;19945;21416
3191;2064;1365;13760;1514;1222;21848;23515
3339;2167;1387;13431;1553;1261;22363;23382
3327;2196;1383;13385;1551;1256;22054;23534
3427;2204;1379;13333;1544;1236;21986;23609
3401;2191;1348;13279;1514;1191;21769;23346
3307;2185;1356;13160;1513;1203;21644;23282
3341;2180;1355;13042;1499;1199;21550;23297
3288;2162;1343;13027;1494;1188;21702;23442
3193;2150;1368;13287;1493;1208;21680;23373
3227;2249;1415;13572;1583;1266;21869;23657
3496;2393;1396;13558;1589;1259;21858;23880
3324;2322;1368;13618;1541;1223;21630;23537
3096;2190;1340;13497;1487;1185;21295;23190
2899;2027;1287;12965;1386;1121;21057;22391
2751;1865;1188;12921;1228;1019;20522;21130
2490;1726;1099;12618;1097;914;19711;20268
2268;1556;1045;12120;1025;829;18781;19170
2117;1458;1006;11846;988;780;18243;18327
2037;1380;989;11610;965;766;17962;18050
1989;1365;986;11550;963;766;17737;17862
1995;1372;998;11685;975;778;17693;18123
2063;1413;1051;12111;1047;831;17898;18344
2242;1516;1173;13116;1260;959;18482;19128
2660;1779;1321;13559;1471;1131;20101;21358
3149;2087;1412;13702;1574;1235;21829;23406
3322;2188;1432;13545;1614;1274;22481;23403
3315;2232;1428;13454;1621;1279;22473;23468
3428;2262;1411;13368;1597;1254;22441;23582
3430;2249;1393;13304;1555;1207;22120;23200
3358;2235;1401;13104;1542;1220;22060;23222
3378;2225;1384;12991;1532;1213;22020;23247
3302;2204;1384;12991;1523;1204;21970;23192
3189;2198;1391;13297;1514;1226;22092;23540
3204;2273;1425;13650;1604;1283;22358;24069
3463;2442;1403;13789;1606;1286;22316;24501
3337;2364;1384;13833;1564;1247;22048;23939
3134;2231;1344;13676;1510;1205;21801;23471
2923;2074;1301;13128;1414;1140;21370;22823
2720;1932;1202;13071;1271;1032;20854;21868
2544;1786;1124;12809;1153;928;20071;20774
2351;1637;1061;12323;1077;841;19130;19631
2202;1476;1041;12038;1033;800;18430;18608
2156;1428;1023;11869;1015;779;18036;18661
2148;1390;1017;11813;1009;777;17900;18557
2151;1400;1025;11922;1008;788;17925;18745
2204;1430;1063;12342;1062;837;18056;19189
2326;1530;1180;13353;1275;966;18593;19942
2736;1797;1338;13845;1478;1135;20100;22284
3244;2114;1419;14060;1604;1237;21977;24359
3448;2206;1448;13867;1645;1281;22514;24184
3424;2294;1453;13770;1650;1287;22244;24110
3488;2353;1454;13760;1624;1264;22081;24322
3482;2330;1419;13693;1571;1216;21945;24161
3409;2319;1430;13561;1549;1230;21818;24080
3392;2346;1403;13488;1538;1219;21673;23805
3310;2325;1395;13380;1528;1204;21828;23721
3194;2269;1405;13653;1541;1223;21917;23974
3233;2336;1454;13984;1624;1282;22255;24581
3510;2514;1444;13972;1638;1286;22232;24744
3393;2444;1421;14003;1604;1251;21908;24184
3187;2311;1392;13859;1537;1211;21552;23376
2991;2164;1336;13362;1430;1146;21193;22463
2831;2047;1239;13332;1270;1037;20674;21802
2630;1849;1162;13072;1141;934;19958;20562
2448;1647;1108;12619;1065;856;19145;19582
2298;1532;1083;12305;1024;809;18364;18711
2235;1456;1062;12125;1007;795;17914;18383
2200;1455;1051;12151;999;790;17736;18358
2213;1444;1055;12223;1011;801;17823;18437
2255;1475;1093;12651;1073;849;18003;18760
2379;1560;1211;13596;1277;978;18572;19704
2798;1805;1368;14027;1476;1151;20123;21791
3304;2084;1458;14228;1588;1250;22019;23871
3410;2185;1486;13945;1623;1295;22614;23984
3360;2214;1482;13885;1635;1295;22234;23970
3401;2297;1477;13818;1603;1271;22138;23946
3335;2317;1444;13613;1547;1228;21916;23534
3201;2284;1448;13367;1531;1237;21764;23417
3099;2220;1426;13196;1505;1225;21610;23322
3008;2169;1408;13070;1483;1214;21507;22760
