hour;dk1;dk2;ee;fi;lt;lv;no;se
13 - 14;0.393684211;0.827;0.02;0.305493741;0.603333333;0.28;0.512681792;0.317361165
14 - 15;0.363684211;0.804;0.01;0.30489131;0.516666667;0.25;0.489871092;0.301929066
15 - 16;0.443157895;0.683;0.006666667;0.302437902;0.57;0.23;0.474955727;0.298709286
16 - 17;0.501842105;0.632;0;0.305955803;0.603333333;0.26;0.475682447;0.293205235
17 - 18;0.577894737;0.655;0;0.306143829;0.553333333;0.26;0.497010649;0.258137209
18 - 19;0.628421053;0.636;0;0.309650423;0.56;0.24;0.506149884;0.2540286
19 - 20;0.644473684;0.788;0;0.308996903;0.566666667;0.17;0.567042755;0.268654582
20 - 21;0.684210526;0.838;0.006666667;0.306539186;0.506666667;0.15;0.603281379;0.28763361
21 - 22;0.728157895;0.882;0.013333333;0.316464539;0.47;0.17;0.633459574;0.290220827
22 - 23;0.749473684;0.919;0.076666667;0.32077395;0.456666667;0.13;0.652301025;0.28842939
23 - 00;0.743947368;0.952;0.083333333;0.313738436;0.46;0.09;0.660478927;0.285489412
00 - 01;0.700789474;0.938;0.143333333;0.312730426;0.416666667;0.06;0.639144924;0.278645298
01 - 02;0.705263158;0.933;0.193333333;0.313380698;0.353333333;0.08;0.635334859;0.26774142
02 - 03;0.710263158;0.921;0.126666667;0.315581224;0.296666667;0.08;0.630264169;0.259529348
03 - 04;0.721315789;0.912;0.06;0.295202197;0.22;0.11;0.626737046;0.246895348
04 - 05;0.726578947;0.862;0.073333333;0.287588232;0.163333333;0.21;0.608835223;0.237926722
05 - 06;0.745;0.873;0.133333333;0.258483707;0.373333333;0.22;0.623105532;0.251316595
06 - 07;0.766052632;0.875;0.233333333;0.24669964;0.536666667;0.14;0.642488921;0.286414131
07 - 08;0.765789474;0.892;0.32;0.242426804;0.52;0.07;0.656812669;0.312648532
08 - 09;0.760263158;0.888;0.333333333;0.229224512;0.476666667;0.15;0.662197367;0.338328944
09 - 10;0.738684211;0.93;0.276666667;0.218375665;0.403333333;0.18;0.67620669;0.35993586
10 - 11;0.705263158;0.94;0.23;0.220418055;0.36;0.16;0.670019859;0.36479642
11 - 12;0.617368421;0.962;0.163333333;0.227336623;0.243333333;0.11;0.651210367;0.374262681
12 - 13;0.569210526;0.947;0.116666667;0.253039898;0.22;0.09;0.631228624;0.377475346
13 - 14;0.534473684;0.906;0.09;0.268086503;0.11;0.07;0.606932562;0.380324001
14 - 15;0.464210526;0.838;0.073333333;0.280114473;0.056666667;0.05;0.567565498;0.400485967
15 - 16;0.322368421;0.613;0.076666667;0.298786957;0.016666667;0.03;0.445375794;0.40075896
16 - 17;0.228947368;0.448;0.083333333;0.312312876;0.013333333;0.03;0.35073094;0.375245452
17 - 18;0.199736842;0.546;0.083333333;0.324471299;0.046666667;0.01;0.369472388;0.362680323
18 - 19;0.130789474;0.503;0.103333333;0.311627615;0.086666667;0.03;0.329643763;0.355141815
19 - 20;0.106052632;0.375;0.1;0.314553253;0.133333333;0.07;0.276540655;0.348569333
20 - 21;0.087368421;0.289;0.12;0.311701948;0.24;0.1;0.23770033;0.336732569
