hour;dk1;dk2;ee;fi;lt;lv;no;se
13 - 14;0.055;0.015;0.023395243;0.023395243;0.023395243;0.023395243;0.023395243;0.00018573
14 - 15;0.045;0.01;0.018383303;0.018383303;0.018383303;0.018383303;0.018383303;0.00014991
15 - 16;0.01;0;0.003350203;0.003350203;0.003350203;0.003350203;0.003350203;0.00005061
16 - 17;0;0;1.43333E-05;1.43333E-05;1.43333E-05;1.43333E-05;1.43333E-05;0.000043
17 - 18;0;0;0.0000147;0.0000147;0.0000147;0.0000147;0.0000147;0.0000441
18 - 19;0;0;0.00001;0.00001;0.00001;0.00001;0.00001;0.00003
19 - 20;0;0;1.33333E-05;1.33333E-05;1.33333E-05;1.33333E-05;1.33333E-05;0.00004
20 - 21;0;0;0.000013;0.000013;0.000013;0.000013;0.000013;0.000039
21 - 22;0;0;0.00001;0.00001;0.00001;0.00001;0.00001;0.00003
22 - 23;0;0;0.000013;0.000013;0.000013;0.000013;0.000013;0.000039
23 - 00;0;0;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;0.000067
00 - 01;0;0;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;0.00005
01 - 02;0;0;0.000021;0.000021;0.000021;0.000021;0.000021;0.000063
02 - 03;0;0;0.000007;0.000007;0.000007;0.000007;0.000007;0.000021
03 - 04;0;0;0.00001;0.00001;0.00001;0.00001;0.00001;0.00003
04 - 05;0;0;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;0.000058
05 - 06;0;0;0.00002;0.00002;0.00002;0.00002;0.00002;0.00006
06 - 07;0;0;1.86667E-05;1.86667E-05;1.86667E-05;1.86667E-05;1.86667E-05;0.000056
07 - 08;0;0;8.66667E-06;8.66667E-06;8.66667E-06;8.66667E-06;8.66667E-06;0.000026
08 - 09;0;0.005;0.001687367;0.001687367;0.001687367;0.001687367;0.001687367;0.0000621
09 - 10;0.03;0.05;0.026807163;0.026807163;0.026807163;0.026807163;0.026807163;0.00042149
10 - 11;0.1275;0.14;0.089539117;0.089539117;0.089539117;0.089539117;0.089539117;0.00111735
11 - 12;0.2175;0.155;0.124873197;0.124873197;0.124873197;0.124873197;0.124873197;0.00211959
12 - 13;0.2;0.165;0.122726393;0.122726393;0.122726393;0.122726393;0.122726393;0.00317918
